Gene,Gene name,tau,max_nTPM
ENSG00000189064,GAGE2A,0.9997757847533633,89.2
ENSG00000168484,SFTPC,0.9997757765116707,17411.2
ENSG00000171557,FGG,0.9997753810960833,15475.1
ENSG00000240871,KRTAP4-7,0.9997744360902255,53.2
ENSG00000170373,CST1,0.9997742289716999,26681.9
ENSG00000163217,BMP10,0.9997717271727172,727.2
ENSG00000136488,CSH1,0.9997704211472446,9234.3
ENSG00000263761,GDF2,0.9997701149425288,17.4
ENSG00000229314,ORM1,0.9997699225012094,42168.4
ENSG00000171396,KRTAP4-4,0.9997674418604652,17.2
ENSG00000221859,KRTAP10-10,0.999766081871345,17.1
ENSG00000143278,F13B,0.9997649572649573,187.2
ENSG00000187272,KRTAP9-8,0.9997601918465228,41.7
ENSG00000243130,PSG11,0.9997595190380761,49.9
ENSG00000213218,CSH2,0.9997591447707367,3105.6
ENSG00000116218,NPHS2,0.9997550020416496,244.9
ENSG00000274391,TPTE,0.9997537878787878,105.6
ENSG00000221880,KRTAP1-3,0.9997519729425028,88.7
ENSG00000156096,UGT2B4,0.9997514276116896,1190.8
ENSG00000182333,LIPF,0.9997477217818843,35389.5
ENSG00000233803,TSPY4,0.9997452229299364,31.4
ENSG00000151655,ITIH2,0.9997450902598692,2016.4
ENSG00000213512,GBP7,0.9997438633938099,93.7
ENSG00000241476,SSX2,0.9997435897435898,15.6
ENSG00000105392,CRX,0.9997428288822948,202.2
ENSG00000198090,KRTAP4-6,0.999742765273312,31.1
ENSG00000164744,SUN3,0.999742268041237,38.8
ENSG00000102104,RS1,0.9997373737373738,198.0
ENSG00000166069,TMCO5A,0.9997354497354496,113.4
ENSG00000165120,SSMEM1,0.9997350993377484,30.2
ENSG00000241123,KRTAP10-5,0.9997350993377484,15.1
ENSG00000221826,PSG3,0.9997303370786517,133.5
ENSG00000187758,ADH1A,0.9997288532916586,2559.5
ENSG00000129991,TNNI3,0.9997285504672178,10359.2
ENSG00000142515,KLK3,0.9997278603921151,7518.2
ENSG00000212935,KRTAP10-3,0.9997222222222223,21.6
ENSG00000160994,CCDC105,0.9997202797202798,14.3
ENSG00000212899,KRTAP3-3,0.9997178423236514,120.5
ENSG00000224916,APOC4-APOC2,0.9997161488300729,1303.5
ENSG00000242221,PSG2,0.9997155555555556,225.0
ENSG00000228278,ORM2,0.9997126780505071,8192.9
ENSG00000239886,KRTAP9-2,0.99971119133574,27.7
ENSG00000221864,KRTAP12-2,0.9997087378640777,20.6
ENSG00000042832,TG,0.9997028751801277,8743.8
ENSG00000186009,ATP4B,0.9996985426232782,1001.8
ENSG00000204296,TSBP1,0.9996969696969696,33.0
ENSG00000143006,DMRTB1,0.9996954314720813,59.1
ENSG00000101890,GUCY2F,0.9996930946291559,39.1
ENSG00000187516,H2AP,0.9996881959910914,44.9
ENSG00000139797,RNF113B,0.999685393258427,44.5
ENSG00000166569,CPLX4,0.9996846074734316,291.7
ENSG00000179213,SIGLECL1,0.9996842105263158,19.0
ENSG00000198765,SYCP1,0.9996808510638299,37.6
ENSG00000172155,LCE1D,0.9996807297605472,87.7
ENSG00000267710,EDDM13,0.9996781115879828,93.2
ENSG00000135222,CSN2,0.9996767001114827,538.2
ENSG00000183395,PMCH,0.9996747055524396,713.2
ENSG00000170516,COX7B2,0.9996745932415518,79.9
ENSG00000188581,KRTAP1-1,0.9996730245231608,73.4
ENSG00000105550,FGF21,0.9996725440806046,79.4
